source_id,institution_en,institution_ar,acronym,url,tier,sector,data_domains,geographic_level,earliest_coverage,latest_coverage,languages,formats,machine_readable,update_frequency,access_status,verified_2026_09_09,notes
LY-LIA,Libyan Investment Authority,المؤسسة الليبية للاستثمار,LIA,https://lia.ly,sovereign_wealth_fund,finance,"annual reports; portfolio disclosures; governance documents",national_and_international,NA,2026,ar_en,pdf_html,no,annual,live,not_catalogued,"Alternate domain libyaninvestment.com sits behind a Cloudflare interstitial and is not scriptable."
LY-NOC,National Oil Corporation,المؤسسة الوطنية للنفط,NOC,https://noc.ly,state_corporation,energy,"crude production levels; benchmark oil prices; production statements; financial reports; exploration and sustainability reports",national_and_field_level,NA,2026,ar_en,pdf_html,no,irregular,live,content_catalogued,"Homepage shows current production and a daily benchmark price panel (Brent, Dubai, Urals, WTI, OPEC basket). /reports/ exists but exposes few downloadable files; most production figures are published through press releases rather than as tables."
LY-WAHA,Waha Oil Company,شركة الواحة للنفط,,https://waha.ly,state_corporation_subsidiary,energy,"company operational reports",field_level,NA,2026,ar_en,html,no,irregular,live,not_catalogued,NOC subsidiary. Content inventory pending.
LY-AGOCO,Arabian Gulf Oil Company,شركة الخليج العربي للنفط,AGOCO,https://agoco.ly,state_corporation_subsidiary,energy,"company operational reports",field_level,NA,2026,ar,html,no,irregular,live,not_catalogued,NOC subsidiary based in Benghazi. Content inventory pending.
LY-MELLITAH,Mellitah Oil and Gas,مليتة للنفط والغاز,,https://mellitahog.ly,state_corporation_subsidiary,energy,"company operational reports",field_level,NA,unknown,ar_en,html,no,irregular,live_scraper_blocked,not_catalogued,Returns HTTP 403 to datacenter IPs. NOC and ENI joint operator.
LY-HNEC,High National Elections Commission,المفوضية الوطنية العليا للانتخابات,HNEC,https://hnec.ly,electoral_commission,elections,"election results; voter registration statistics; candidate lists; constituency boundaries; polling centre lists",national_constituency_and_polling_centre,2012,2026,ar_en,pdf_html,no,per_electoral_event,live_scraper_blocked,not_catalogued,"Behind a Sucuri WAF that blacklists datacenter IP ranges (block ID BLACK02). Reachable from ordinary residential browsers. Covers 2012 GNC, 2014 HoR, 2014 CDA and the 2024-2026 municipal election phases. Highest-value untapped source for Libyan political science."
LY-HOR,House of Representatives,مجلس النواب,HoR,https://parliament.ly,legislature,politics_law,"official gazette by legislative year; plenary session records; statements by year 2015-2023; standing committee membership",national,2014,2026,ar,pdf_html,no,continuous,live,content_catalogued,"Official Gazette (الجريدة الرسمية) organised by legislative year. Statements archived under year categories 2015 through 2023. Session records under /category/الجلسات/. Usable for legislative output and roll-of-members research."
LY-PM,Government of National Unity,حكومة الوحدة الوطنية,GNU,https://pm.gov.ly,executive,politics_law,"cabinet decisions; prime ministerial decrees; press statements",national,2021,2026,ar,pdf_html,no,continuous,live_compromised,reprobed_2026_09_12_placeholder_with_injected_spam,"Executive decisions of the Tripoli-based government. Re-probed 2026-09-12: pm.gov.ly now serves a placeholder page with an injected SEO link farm, 189 outbound hosts, and publishes no decisions. The decisions are at gnu.gov.ly instead, on a WordPress REST API with renamed paths (/lefunot/ for wp-json): 648 records dated 2021 to 2024-09, carrying title, date and issuing authority only, with no body text and no attached PDF."
LY-LANA,Libyan News Agency,وكالة الأنباء الليبية,LANA,https://lana.gov.ly,state_media,text_corpus,"state newswire archive with sequential post identifiers",national,NA,2026,ar_en,html,yes_via_id_enumeration,daily,live,content_catalogued,"URL pattern post.php?lang=ar&id=NNNNNN with sequential IDs (~365,000 as of 2026-09) makes the full archive systematically harvestable. Strong candidate for a text corpus on official framing."
LY-NCDC,National Centre for Disease Control,المركز الوطني لمكافحة الأمراض,NCDC,https://ncdc.org.ly,public_health_agency,health,"EWARN early warning surveillance; COVID-19 epidemiological situation reports; multisectoral NCD strategy 2026-2030; scientific and administrative reports",national_and_municipality,2020,2026,ar,pdf_gdrive,no,irregular,live,content_catalogued,"Reports live under تقارير وبحوث. Some documents are hosted on Google Drive rather than the domain, so links are fragile and need mirroring."
LY-MOH,Ministry of Health,وزارة الصحة,MoH,https://health.gov.ly,line_ministry,health,"health facility and service statistics; ministerial decisions",national,NA,unknown,ar,unknown,no,unknown,live_scraper_blocked,not_catalogued,Behind the same Sucuri WAF as HNEC (block ID BLACK02). Reachable from residential browsers.
LY-MOL,Ministry of Labour and Rehabilitation,وزارة العمل والتأهيل,MoL,https://labour.gov.ly,line_ministry,labour,"ministerial decisions and legislation; training and employment forms",national,NA,2026,ar,pdf_html,no,irregular,live,content_catalogued,"Decisions and legislation only. No employment statistics published; labour force data comes from BSC instead."
LY-SSF,Social Security Fund,صندوق الضمان الاجتماعي,SSF,https://ssf.gov.ly,social_insurance,social_protection,"contributor and beneficiary statistics; pension administration",national,NA,unknown,ar,unknown,no,unknown,live_scraper_blocked,not_catalogued,Behind Sucuri WAF. Potentially a major source of administrative microdata on formal employment and pensions.
LY-MOE,Ministry of Education,وزارة التعليم,MoE,https://moe.gov.ly,line_ministry,education,"education policy; admission and enrolment policy; examination regulations; private education administration",national,NA,2026,ar,pdf_html,no,irregular,live,content_catalogued,No enrolment statistics published on the ministry site itself.
LY-NEC,National Centre for Examinations,المركز الوطني للامتحانات,NEC,https://nec.moe.gov.ly,line_agency,education,"secondary certificate examination results and pass rates",national_and_school_level,NA,2026,ar,html,no,annual,live,not_catalogued,"Under the Ministry of Education. Examination results by school and region are the closest available proxy for education outcomes at subnational level."
LY-ECON,Ministry of Economy and Trade,وزارة الاقتصاد والتجارة,MoET,https://economy.gov.ly,line_ministry,economy_trade,"statistics section; reports; import and export documentation; daily commodity prices; official exchange rates; investment map; joint company and commercial agency registers; agreements",national_and_municipality,NA,2026,ar,pdf_html,no,daily_and_irregular,live,content_catalogued,"/daily-rates/ publishes daily commodity prices, useful as an independent price series alongside the BSC CPI. /investment-map/ and the commercial agency registers are firm-level."
LY-AGRI,Ministry of Agriculture,وزارة الزراعة,,https://www.agriculture.gov.ly,line_ministry,agriculture,"agricultural policy and programme documentation",national,NA,2026,ar,html,no,irregular,live,not_catalogued,Site served under a /2020/ path prefix. Content inventory pending.
LY-LPTIC,Libyan Post Telecommunications and IT Company,الشركة الليبية للبريد والاتصالات وتقنية المعلومات,LPTIC,https://lptic.ly,state_holding_company,telecom,"holding company reports; subsidiary information",national,NA,2026,ar_en,html,no,irregular,live,not_catalogued,Parent of Libyana and Almadar. Subscriber statistics would be a valuable subnational connectivity proxy if published.
LY-CIM,General Authority for Communications and Informatics,الهيئة العامة للاتصالات والمعلوماتية,GACI,https://cim.gov.ly,regulator,telecom,"telecom sector regulation; licensing",national,NA,2026,ar,javascript_app,no,irregular,live_js_only,not_catalogued,Serves no server-side HTML; requires a headless browser to inspect.
LY-NID,National ID Project,مشروع الرقم الوطني,NID,https://nid.gov.ly,civil_registry,identity,"national ID lookup service; passport application and appointment services",national_and_individual,NA,2026,ar,web_service,no,continuous,live,content_catalogued,"Service portal, not a data publisher. The underlying civil registry (civil status, criminal record, passport, health, education, employment files) is the backbone administrative database but is not publicly released."
LY-LISCO,Libyan Iron and Steel Company,الشركة الليبية للحديد والصلب,LISCO,https://lisco.ly,state_corporation,industry,"production and company reports",firm_level,NA,2026,ar_en,html,no,irregular,live,not_catalogued,Largest non-oil industrial enterprise. Content inventory pending.
LY-UOT,University of Tripoli,جامعة طرابلس,UoT,https://uot.edu.ly,university,research,"journals; theses; faculty research output",national,NA,2026,ar_en,pdf_html,no,continuous,live,not_catalogued,Institutional repository and Libyan-authored quantitative research on Libya.
LY-UOB,University of Benghazi,جامعة بنغازي,UoB,https://uob.edu.ly,university,research,"journals; theses; faculty research output",national,NA,2026,ar_en,pdf_html,no,continuous,live,not_catalogued,Main eastern-region university. Useful counterweight to Tripoli-centric sources.
LY-ACAD,Libyan Academy for Postgraduate Studies,الأكاديمية الليبية للدراسات العليا,,https://academy.edu.ly,university,research,"postgraduate theses; policy research",national,NA,2026,ar,pdf_html,no,continuous,live,not_catalogued,Theses frequently contain original survey and administrative data on Libya not published elsewhere.
LY-SADEQ,Sadeq Institute,معهد صادق,,https://sadeqinstitute.org,think_tank,policy_research,"policy papers on Libyan governance, economy and security",national,NA,2026,ar_en,pdf_html,no,irregular,live,not_catalogued,Libyan-founded independent policy research institute.
LY-MARSAD,Al-Marsad,المرصد,,https://almarsad.co,media,news_corpus,"news archive",national,NA,2026,ar,html,no,daily,live,not_catalogued,Libyan news outlet. Candidate for event-data extraction.
LY-OBSERVER,The Libya Observer,ليبيا أوبزيرفر,,https://libyaobserver.ly,media,news_corpus,"English-language news archive with topic tags",national,NA,2026,en_ar,html,partial,daily,live,not_catalogued,Tag-based archive (e.g. /tag/ministry-economy-and-trade) supports structured harvesting by institution.
LY-HERALD,Libya Herald,,,https://libyaherald.com,media,news_corpus,"English-language news archive with economic reporting",national,2012,2026,en,html,partial,daily,live,not_catalogued,Longest continuous English-language record of post-2011 Libyan economic and political events.
LY-ALWASAT,Alwasat,بوابة الوسط,,https://alwasat.ly,media,news_corpus,"news archive with economic and political coverage",national,NA,2026,ar_en,html,no,daily,live_scraper_blocked,not_catalogued,Returns HTTP 403 to datacenter IPs.
LY-BAR,Libyan Bar Association,نقابة المحامين,,https://lawsociety.ly,professional_body,law,"bar registry; legal profession information",national,NA,2026,ar,html,no,irregular,live,not_catalogued,Reachable. Content inventory pending.
