source_id,producer,acronym,url,api_endpoint,category,data_domains,geographic_level,earliest_coverage,latest_coverage,languages,formats,machine_readable,access_model,update_frequency,access_status,verified_2026_09_12,licence,notes
OS-OPENSKY,OpenSky Network,OpenSky,https://opensky-network.org,https://opensky-network.org/api/states/all,transport_tracking,ADS-B aircraft state vectors; historical flight tracks,point,2013,2026,en,json,yes,open_anonymous_rate_limited,real_time,live,6_aircraft_over_libya_bbox,check upstream terms,Anonymous access works with a bounding box and returns live state vectors; historical queries need a free account. Coverage over Libya depends on volunteer receivers and is sparse inland.
OS-ADSBX,ADS-B Exchange,ADSBX,https://globe.adsbexchange.com,https://rapidapi.com/adsbx/api/adsbexchange-com1,transport_tracking,unfiltered ADS-B including military and state aircraft,point,2016,2026,en,json,yes,paid_api_free_map,real_time,live,map_200_api_paid,commercial,"The unfiltered feed is what makes it useful for Libya: aircraft other trackers suppress are visible. The map is free, the API is commercial."
OS-OVERPASS,OpenStreetMap Overpass API,Overpass,https://overpass-api.de,https://overpass-api.de/api/interpreter,geospatial,arbitrary OSM feature queries; settlements; roads; facilities; administrative relations,subnational_point,2004,2026,multilingual_incl_ar,json_xml,yes,open_rate_limited,continuous,live,status_endpoint_200,odbl_share_alike,"ODbL, so anything derived from it carries share-alike terms; this repository already isolates OSM output under data/external/. Reachable, though count queries timed out at the sizes tried."
OS-RELIEFWEB,"ReliefWeb, OCHA",ReliefWeb,https://reliefweb.int,https://api.reliefweb.int/v1/reports,humanitarian,"situation reports; assessments; press releases; job and training postings, tagged by country, theme and organisation",national,1996,2026,en_ar_fr,json,yes,registration_appname,continuous,live_key_required,403_unapproved_appname,check upstream terms,"A full-text corpus of humanitarian reporting on Libya going back to 1996, free once an appname is registered. The v2 endpoint rejects unregistered appnames and v1 returned 410 on the call tried."
OS-AIRWARS,Airwars,Airwars,https://airwars.org,https://airwars.org/conflict/libya/,conflict_events,civilian harm allegations from airstrikes and shelling; per-incident sourcing and casualty estimates,subnational_point,2012,2026,en_ar,html_csv,partial,open_scrape,event_driven,live,site_200,cc_by_nc_check_upstream,"Incident-level records with explicit source chains and confidence grading, covering the 2011 intervention and later strikes. Published as structured pages rather than an API."
OS-BELLINGCAT,Bellingcat,Bellingcat,https://www.bellingcat.com,https://www.bellingcat.com/tag/libya/,monitoring_ngo,open-source investigations; geolocated imagery; equipment and actor identification,subnational_point,2014,2026,en,html,no,open_scrape,irregular,live,site_200,cc_by_nc_check_upstream,Method and case material rather than a dataset. Their Libya work on mercenary deployments and strike attribution is the closest thing to documented geolocation practice for the country.
OS-UNSMIL,UN Support Mission in Libya,UNSMIL,https://unsmil.unmissions.org,https://unsmil.unmissions.org/news,monitoring_ngo,mission statements; ceasefire and political process documents; human rights reporting with OHCHR,national,2011,2026,en_ar,html_pdf,no,open_scrape,continuous,live,site_200,un_terms,"Primary record of the internationally mediated political process, and the naming authority for many of the bodies an officials dataset would need."
OS-LIBYAHERALD,Libya Herald,,https://libyaherald.com,https://libyaherald.com/feed/,news_corpus,"English-language Libyan business, energy and political reporting",national,2012,2026,en,rss_html,partial,open_scrape,daily,live,rss_200,copyright_all_rights_reserved,RSS works; no sitemap index at the standard path. The longest-running English outlet on Libya and the most consistent on oil and banking.
OS-LIBYAOBSERVER,Libya Observer,,https://libyaobserver.ly,,news_corpus,"English and Arabic Libyan political reporting, Tripoli-aligned editorial line",national,2014,2026,en_ar,html,no,open_scrape,daily,live,site_200_no_feed_or_sitemap,copyright_all_rights_reserved,"No RSS or sitemap at the standard paths, so enumeration needs link crawling. Pair with an eastern-aligned outlet to avoid a one-sided corpus."
OS-LIBYAUPDATE,Libya Update,,https://libyaupdate.com,https://libyaupdate.com/wp-json/wp/v2/posts,news_corpus,English-language Libyan news,national,2019,2026,en,json_rss_html,yes,open,daily,live,wp_rest_6160_posts,copyright_all_rights_reserved,"WordPress REST API open, 6,160 posts, the same enumeration pattern already used for HNEC and parliament.ly. The cheapest full-text Libyan news corpus to build."
OS-ALWASAT,Alwasat,,https://alwasat.ly,,news_corpus,"Arabic Libyan news, independent editorial line",national,2011,2026,ar,html,no,open_scrape,daily,live_scraper_blocked,403_from_datacenter_ip,copyright_all_rights_reserved,"Returns 403 to this address, the same pattern as the seven Libyan hosts recorded in access_notes.md. Loads normally from an ordinary connection."
OS-JODI,Joint Organisations Data Initiative,JODI,https://www.jodidata.org,https://www.jodidata.org/oil/database/,energy,"monthly oil production, refining, stocks, imports and exports as reported by member countries",national,2002,2026,en,csv,yes,open,monthly,live,site_200,check upstream terms,"Self-reported, and Libyan submissions are incomplete across the conflict years, which is itself informative. Cross-check against OPEC secondary sources and tanker tracking."
OS-FIRMS,NASA FIRMS,FIRMS,https://firms.modaps.eosdis.nasa.gov,https://firms.modaps.eosdis.nasa.gov/api/country/csv/,imagery_analysis,VIIRS and MODIS active fire and thermal anomaly detections,subnational_point,2000,2026,en,csv_geojson,yes,registration_free_key,near_real_time,live_key_required,demo_key_rejected,nasa_open_data,"Thermal anomalies over Libyan oil infrastructure are a flaring and throughput proxy at daily resolution, and a conflict indicator elsewhere. Country code LBY. Needs a free MAP_KEY; DEMO_KEY is rejected."
OS-ALEPH,OCCRP Aleph,Aleph,https://aleph.occrp.org,https://aleph.occrp.org/api/2/,corporate_records,leaked and scraped document collections; company registries; entity search across investigations,multinational,1990,2026,multilingual_incl_ar,json,yes,registration_key,irregular,live_key_required,401_without_key,per_collection,Holds several Libya-relevant collections including procurement and offshore material. Access tiers differ per collection and some need journalist credentials.
OS-OPENCORP,OpenCorporates,,https://opencorporates.com,https://api.opencorporates.com/v0.4/,corporate_records,company registrations and officers across jurisdictions,multinational,2010,2026,en,json,yes,registration_key,continuous,live_key_required,401_without_key,cc_by_sa_for_some_data,"Libya has no open company register, so coverage of Libyan-domiciled firms is close to nil. Useful in the other direction: foreign firms with Libyan contracts, which joins to the CBL letter-of-credit beneficiary data already in this repository."
OS-GFW,Global Fishing Watch,GFW,https://globalfishingwatch.org,https://gateway.api.globalfishingwatch.org/v3/,transport_tracking,AIS vessel tracks; port visits; loitering and encounter events,point,2012,2026,en,json,yes,registration_free_token,daily,live_key_required,401_without_token,cc_by_nc_check_upstream,"AIS is the open route to Libyan oil export and smuggling monitoring: tanker port calls at Es Sider, Ras Lanuf, Zawiya and Brega, and ship-to-ship transfers offshore. Commercial trackers cover this better but cost money."
OS-CFRADAR,Cloudflare Radar,,https://radar.cloudflare.com/ly,https://api.cloudflare.com/client/v4/radar/,network_measurement,traffic volume by country and ASN; outage annotations; protocol and device mix,national_and_asn,2020,2026,en,json,yes,registration_free_token,near_real_time,live_key_required,403_without_token,check upstream terms,"A second, independent read on Libyan connectivity alongside IODA, useful because the two disagree on some events."
OS-EIA,US Energy Information Administration,EIA,https://www.eia.gov,https://api.eia.gov/v2/,energy,"international petroleum production, consumption, trade and reserves",national,1973,2026,en,json_csv,yes,registration_free_key,monthly,live_key_required,403_without_key,us_gov_public_domain,"Independent estimates of Libyan crude production, which is the series NOC and OPEC report differently."
OS-LCW,Libyan Crimes Watch,LCW,https://libyancrimeswatch.org,,monitoring_ngo,"documentation of enforced disappearance, detention and killings",subnational,2019,2024,ar_en,html,no,none,irregular,offline_domain_repurposed,fingerprintjs_redirect_page,,"The domain now serves a FingerprintJS script that redirects with a tracking UUID, not the organisation's site. Treat anything collected from it after this date as untrusted and source their documentation from mirrors or from their social accounts instead."
